,,,,,
,,,,,
,ID,Centro de Reciclaje,Ubicación,Teléfono,Materiales que Aceptan
,1,Alcamare Banco De Materiales,"Catarroja 871-B, Col. Cerro de la Estrella, Iztapalapa (09860)",55 1809 0612,"Papel, Cartón, Plástico (Compra)"
,2,Alcamare Banco de Materiales,"Cda. de las Granjas 85, Col. El Jaguey, Azcapotzalco (02510)",46 1224 1447,"Papel, Cartón, Plástico (Compra)"
,3,Rinfsa,"Lago Argentina 23, Col. Argentina Antigua, Miguel Hidalgo (11280)",55 5399 6620,Electrónicos
,4,Rinsa Reciclaje,"24 de Marzo de 1867 #4, Col. Leyes de Reforma 3ra Secc., Iztapalapa (09310)",55 4399 8441,"Papel, Cartón, Plástico, Metales, Electrónicos, Baterías, Vidrio (Compra)"
,5,Rennueva,"Mimosas 49 Bis, Col. Santa María Insurgentes, Cuauhtémoc (06430)",55 8437 7300,Plástico
,6,Rennueva Estación Circular,"Dr. José María Vértiz 1410, Col. Portales Norte, Benito Juárez (03303)",55 8437 7300,Plástico
,7,Red Recicla,"Pedro Sainz de Baranda 139 (Ofic. C2), Col. Cipreses, Coyoacán (04830)",55 3966 4733,Electrónicos
,8,Recycle Catarroja,"Av. Hidalgo 506, Col. Granjas Estrella, Iztapalapa (09850)",55 5426 1111,"Papel, Cartón"
,9,Recyel Electronics Recycling,"Av. San Lorenzo 279, Col. San Nicolás Tolentino, Iztapalapa (09850)",55 1057 6083,"Metales, Electrónicos, Baterías"
,10,Recupera Del Valle,"Pilares 129, Col. del Valle Sur, Benito Juárez (03100)",55 5559 8812,"Papel, Cartón, Plástico, Metales, Electrónicos, Baterías, Vidrio (Compra)"
,11,Reciclados Cavita,"Av. Real De San Martín 201, Col. Santa Barbara, Azcapotzalco (02230)",55 5318 1440,"Papel, Cartón, Plástico, Madera, Vidrio (Compra)"
,12,Recupera Del Valle,"C. Pilares 129, Colonia del Valle Sur, Benito Juárez (03100)",55 5559 8812,"Papel, Cartón, Plástico, Metales, Electrónicos, Baterías, Vidrio (Compra)"
